year,REALM,season,Metrics,values
1982,Arctic,Summer,Number_MHW_days,1.9005731328266768
1982,Arctic,Summer,Nevents,0.23780520670511507
1982,Arctic,Summer,Mean_Intensity,1.4440803540882294
1982,Arctic,Summer,Maximum_Intensity,1.8402527436660079
1982,Arctic,Summer,Cumulative_Intensity,3.19744884595115
1982,Arctic,Autumn,Number_MHW_days,4.793402684202015
1982,Arctic,Autumn,Nevents,0.2505255214790061
1982,Arctic,Autumn,Mean_Intensity,0.5816753680838704
1982,Arctic,Autumn,Maximum_Intensity,0.7914092233091754
1982,Arctic,Autumn,Cumulative_Intensity,1.9204281867424942
1982,Arctic,Winter,Number_MHW_days,6.534486785605203
1982,Arctic,Winter,Nevents,0.5543218527102535
1982,Arctic,Winter,Mean_Intensity,0.3208729415266064
1982,Arctic,Winter,Maximum_Intensity,0.40622767758075873
1982,Arctic,Winter,Cumulative_Intensity,1.7330829835197277
1982,Arctic,Spring,Number_MHW_days,4.279271995544296
1982,Arctic,Spring,Nevents,0.29668157890008806
1982,Arctic,Spring,Mean_Intensity,0.47379765747212155
1982,Arctic,Spring,Maximum_Intensity,0.6425458721353989
1982,Arctic,Spring,Cumulative_Intensity,1.8984222633634595
1982,Temperate Northern Atlantic,Summer,Number_MHW_days,3.7868897547559017
1982,Temperate Northern Atlantic,Summer,Nevents,0.44221865688746276
1982,Temperate Northern Atlantic,Summer,Mean_Intensity,2.0236159080071374
1982,Temperate Northern Atlantic,Summer,Maximum_Intensity,2.6160910445681202
1982,Temperate Northern Atlantic,Summer,Cumulative_Intensity,7.5103819848770526
1982,Temperate Northern Atlantic,Autumn,Number_MHW_days,1.8457941783176712
1982,Temperate Northern Atlantic,Autumn,Nevents,0.22351592940637177
1982,Temperate Northern Atlantic,Autumn,Mean_Intensity,1.6478364969151091
1982,Temperate Northern Atlantic,Autumn,Maximum_Intensity,2.047934359095901
1982,Temperate Northern Atlantic,Autumn,Cumulative_Intensity,3.0879256665099324
1982,Temperate Northern Atlantic,Winter,Number_MHW_days,1.9832683933073574
1982,Temperate Northern Atlantic,Winter,Nevents,0.2662388264955306
1982,Temperate Northern Atlantic,Winter,Mean_Intensity,1.4550928854043688
1982,Temperate Northern Atlantic,Winter,Maximum_Intensity,1.807348554392307
1982,Temperate Northern Atlantic,Winter,Cumulative_Intensity,3.047956638256226
1982,Temperate Northern Atlantic,Spring,Number_MHW_days,1.7332569333027734
1982,Temperate Northern Atlantic,Spring,Nevents,0.22516617006646802
1982,Temperate Northern Atlantic,Spring,Mean_Intensity,1.637948857394576
1982,Temperate Northern Atlantic,Spring,Maximum_Intensity,2.1020690659297676
1982,Temperate Northern Atlantic,Spring,Cumulative_Intensity,3.0183987155175855
1982,Temperate Northern Pacific,Summer,Number_MHW_days,1.650551314673452
1982,Temperate Northern Pacific,Summer,Nevents,0.22768235793044952
1982,Temperate Northern Pacific,Summer,Mean_Intensity,2.2432203660568515
1982,Temperate Northern Pacific,Summer,Maximum_Intensity,2.811314814298598
1982,Temperate Northern Pacific,Summer,Cumulative_Intensity,4.054979337708231
1982,Temperate Northern Pacific,Autumn,Number_MHW_days,2.7031382527565735
1982,Temperate Northern Pacific,Autumn,Nevents,0.2783078880407125
1982,Temperate Northern Pacific,Autumn,Mean_Intensity,1.8069092820014978
1982,Temperate Northern Pacific,Autumn,Maximum_Intensity,2.2740660495005964
1982,Temperate Northern Pacific,Autumn,Cumulative_Intensity,5.3539892448183535
1982,Temperate Northern Pacific,Winter,Number_MHW_days,4.125689143341815
1982,Temperate Northern Pacific,Winter,Nevents,0.49634223918575066
1982,Temperate Northern Pacific,Winter,Mean_Intensity,1.2838589206280255
1982,Temperate Northern Pacific,Winter,Maximum_Intensity,1.6325291604736016
1982,Temperate Northern Pacific,Winter,Cumulative_Intensity,5.451058736965789
1982,Temperate Northern Pacific,Spring,Number_MHW_days,5.543522052586938
1982,Temperate Northern Pacific,Spring,Nevents,0.5494592875318066
1982,Temperate Northern Pacific,Spring,Mean_Intensity,1.3449021322641366
1982,Temperate Northern Pacific,Spring,Maximum_Intensity,1.8206279982641334
1982,Temperate Northern Pacific,Spring,Cumulative_Intensity,7.052794978794063
1982,Tropical Atlantic,Summer,Number_MHW_days,0.7546231210122202
1982,Tropical Atlantic,Summer,Nevents,0.1273926678922894
1982,Tropical Atlantic,Summer,Mean_Intensity,1.3321873031716935
1982,Tropical Atlantic,Summer,Maximum_Intensity,1.6512808603193911
1982,Tropical Atlantic,Summer,Cumulative_Intensity,1.0282231098811119
1982,Tropical Atlantic,Autumn,Number_MHW_days,0.6734616632421326
